model,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2
Baseline (DummyRegressor),2.4818087757858778,2.898861484758807,0.0,2.450274088464898,2.869244964900408,-0.001441598604077221,2.51572115605621,2.9263796081346833,-0.0083601145759018
LinearRegression,2.4794983086336995,2.896444447584751,0.0016668816622940064,2.4576600604717393,2.87518088323087,-0.005589466496541462,2.512941426668043,2.92434568206877,-0.006958917557788213
Ridge,2.479498479132232,2.896444447974309,0.001666881393751929,2.457655938395951,2.8751776173754733,-0.005587182043455208,2.5129418390725644,2.9243454832069915,-0.006958780607060566
DecisionTreeRegressor,2.348454001442008,2.7755049295169187,0.08329610256752307,2.5181942216671866,2.9973591269496507,-0.0928685612999407,2.60930015002888,3.09230697182937,-0.12595111264691594
RandomForestRegressor,2.2247222865001657,2.6072657597653635,0.1910611854139923,2.4577429928246386,2.8847652712929692,-0.012304886564695527,2.5166762714955566,2.928762385034226,-0.010002878465776188
